

[0, 1, 2, 3, 4, 5, 6, 7, 8]
[0, 18, 18, 198, 324, 702, 954, 1332, 1584, 1962]
6.0
1962 x 1962 matrix
         66839812 function calls (66835249 primitive calls) in 97.993 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   126/80    0.000    0.000    0.001    0.000 typing.py:336(_get_type_vars)
        4    0.000    0.000    0.001    0.000 re.py:204(split)
        1    0.000    0.000    0.000    0.000 netcdf.py:18(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.fromiter}
        2    0.000    0.000    0.000    0.000 typing.py:1322(__getitem__)
        2    0.000    0.000    0.000    0.000 typing.py:1342(__getitem_inner__)
        8    0.000    0.000    0.000    0.000 _version.py:114(_compare)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6738(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
        1    0.000    0.000    0.000    0.000 histograms.py:3(<module>)
      281    0.000    0.000    0.000    0.000 function_base.py:428(_needs_add_docstring)
      266    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
       33    0.000    0.000    0.000    0.000 inspect.py:2732(__init__)
      158    0.000    0.000    0.000    0.000 enum.py:353(__setattr__)
       15    0.000    0.000    0.000    0.000 _datasource.py:376(_isurl)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1489(_array_str_implementation)
     2082    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     2082    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
      616    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
      346    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      266    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        5    0.000    0.000    0.000    0.000 _datasource.py:322(__init__)
        1    0.000    0.000    0.000    0.000 typing.py:2244(IO)
        6    0.000    0.000    0.000    0.000 posixpath.py:376(abspath)
      565    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
       40    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
       15    0.000    0.000    0.000    0.000 arrayprint.py:477(wrapper)
      327    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(find_spec)
        5    0.000    0.000    0.000    0.000 _datasource.py:458(abspath)
      548    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
     1482    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
